date,pm25
2019-01-01,5.1
2019-01-02,5.75
2019-01-03,3.14
2019-01-04,5.63
2019-01-05,6.51
2019-01-06,1.12
2019-01-07,1.0
2019-01-08,2.77
2019-01-09,3.05
2019-01-10,3.86
2019-01-11,2.46
2019-01-12,4.6
2019-01-13,6.04
2019-01-14,6.17
2019-01-15,8.08
2019-01-16,7.68
2019-01-17,4.54
2019-01-18,5.51
2019-01-19,2.23
2019-01-20,4.96
2019-01-21,5.33
2019-01-22,4.74
2019-01-23,3.33
2019-01-24,6.74
2019-01-25,5.6
2019-01-26,3.47
2019-01-27,2.97
2019-01-28,5.55
2019-01-29,6.11
2019-01-30,6.54
2019-01-31,6.82
2019-02-01,10.75
2019-02-02,6.41
2019-02-03,4.3
2019-02-05,5.55
2019-02-06,7.88
2019-02-07,6.45
2019-02-08,4.07
2019-02-09,1.91
2019-02-10,4.48
2019-02-11,7.02
2019-02-12,7.49
2019-02-13,5.11
2019-02-14,5.8
2019-02-15,5.94
2019-02-16,5.36
2019-02-17,6.99
2019-02-19,8.13
2019-02-20,7.21
2019-02-21,7.22
2019-02-22,8.0
2019-02-23,2.96
2019-02-25,3.93
2019-02-27,4.08
2019-02-28,8.32
2019-03-01,5.48
2019-03-02,7.08
2019-03-03,2.65
2019-03-04,4.11
2019-03-05,5.54
2019-03-06,7.29
2019-03-07,8.55
2019-03-08,9.46
2019-03-09,6.57
2019-03-10,5.26
2019-03-11,8.38
2019-03-12,7.32
2019-03-13,4.38
2019-03-14,3.11
2019-03-15,2.91
2019-03-16,5.06
2019-03-17,5.98
2019-03-18,8.63
2019-03-19,7.17
2019-03-20,7.68
2019-03-21,9.03
2019-03-22,7.75
2019-03-23,7.86
2019-03-24,6.0
2019-03-25,6.56
2019-03-26,6.37
2019-03-27,4.51
2019-03-28,7.23
2019-03-29,6.66
2019-03-30,6.54
2019-03-31,8.03
2019-04-01,9.72
2019-04-02,10.67
2019-04-03,9.55
2019-04-04,8.26
2019-04-05,8.34
2019-04-06,3.99
2019-04-07,2.65
2019-04-08,3.13
2019-04-09,3.65
2019-04-10,7.05
2019-04-11,6.09
2019-04-12,6.76
2019-04-13,9.96
2019-04-14,8.6
2019-04-15,11.21
2019-04-16,8.51
2019-04-17,8.66
2019-04-19,7.7
2019-04-20,9.73
2019-04-21,5.74
2019-04-22,9.23
2019-04-24,9.05
2019-04-25,6.54
2019-04-27,7.45
2019-04-28,9.06
2019-04-29,10.42
2019-04-30,14.19
2019-05-01,12.25
2019-05-02,9.5
2019-05-03,10.66
2019-05-04,10.53
2019-05-06,14.92
2019-05-07,14.18
2019-05-08,16.25
2019-05-09,11.59
2019-05-10,10.27
2019-05-11,8.05
2019-05-12,8.54
2019-05-14,11.01
2019-05-15,11.05
2019-05-16,8.35
2019-05-17,7.91
2019-05-18,9.72
2019-05-19,12.4
2019-05-20,17.36
2019-05-21,21.64
2019-05-22,18.53
2019-05-23,13.76
2019-05-24,8.65
2019-05-25,10.26
2019-05-26,9.29
2019-05-27,10.56
2019-05-28,10.36
2019-05-29,11.32
2019-05-30,14.53
2019-05-31,14.32
2019-06-01,12.64
2019-06-02,10.31
2019-06-03,8.55
2019-06-04,9.73
2019-06-05,11.36
2019-06-07,15.42
2019-06-08,15.94
2019-06-09,13.49
2019-06-10,11.55
2019-06-11,10.5
2019-06-12,10.47
2019-06-13,16.76
2019-06-14,13.75
2019-06-15,14.86
2019-06-16,12.16
2019-06-17,15.63
2019-06-18,15.86
2019-06-19,14.81
2019-06-20,14.51
2019-06-21,13.01
2019-06-22,13.73
2019-06-23,12.65
2019-06-24,11.27
2019-06-25,9.92
2019-06-26,12.39
2019-06-27,16.85
2019-06-28,16.2
2019-06-29,28.85
2019-06-30,29.22
2019-07-01,18.07
2019-07-02,17.05
2019-07-03,15.1
2019-07-04,17.38
2019-07-05,17.16
2019-07-06,18.57
2019-07-07,16.88
2019-07-08,13.76
2019-07-09,11.24
2019-07-10,16.5
2019-07-11,19.56
2019-07-12,17.06
2019-07-13,14.34
2019-07-14,17.4
2019-07-15,14.33
2019-07-16,12.62
2019-07-17,38.83
2019-07-18,37.89
2019-07-19,38.23
2019-07-20,37.16
2019-07-21,14.41
2019-07-22,18.22
2019-07-23,16.92
2019-07-24,17.41
2019-07-25,11.76
2019-07-26,13.04
2019-07-27,11.1
2019-07-28,9.69
2019-07-29,10.56
2019-07-30,11.73
2019-07-31,15.11
2019-08-01,12.03
2019-08-02,13.31
2019-08-03,11.98
2019-08-05,34.55
2019-08-06,35.14
2019-08-07,37.22
2019-08-09,14.06
2019-08-10,12.87
2019-08-11,13.72
2019-08-12,14.93
2019-08-13,12.3
2019-08-14,13.43
2019-08-15,14.33
2019-08-16,19.85
2019-08-17,20.55
2019-08-18,15.41
2019-08-20,11.22
2019-08-21,11.2
2019-08-22,13.16
2019-08-23,16.17
2019-08-24,12.65
2019-08-25,11.35
2019-08-26,8.23
2019-08-27,10.35
2019-08-28,9.52
2019-08-29,25.16
2019-08-30,24.75
2019-08-31,10.37
2019-09-01,7.49
2019-09-02,7.42
2019-09-03,14.77
2019-09-04,11.26
2019-09-05,9.73
2019-09-06,15.31
2019-09-07,19.8
2019-09-08,13.76
2019-09-09,13.08
2019-09-10,13.74
2019-09-11,17.12
2019-09-12,12.98
2019-09-13,12.3
2019-09-14,13.24
2019-09-15,13.47
2019-09-16,12.68
2019-09-17,12.24
2019-09-18,9.24
2019-09-19,10.06
2019-09-20,10.41
2019-09-21,10.77
2019-09-22,9.69
2019-09-23,12.22
2019-09-24,14.27
2019-09-25,13.48
2019-09-26,13.44
2019-09-27,12.72
2019-09-28,11.28
2019-09-29,9.35
2019-09-30,11.44
2019-10-01,11.15
2019-10-02,15.77
2019-10-03,17.13
2019-10-04,15.22
2019-10-05,10.71
2019-10-06,7.92
2019-10-07,12.31
2019-10-08,12.15
2019-10-09,12.51
2019-10-10,7.77
2019-10-11,11.0
2019-10-12,10.8
2019-10-13,7.7
2019-10-14,8.27
2019-10-15,9.66
2019-10-16,9.92
2019-10-17,9.27
2019-10-18,9.29
2019-10-19,8.03
2019-10-20,8.69
2019-10-21,12.81
2019-10-22,5.66
2019-10-23,6.82
2019-10-24,8.32
2019-10-25,9.38
2019-10-26,7.55
2019-10-27,3.95
2019-10-28,7.42
2019-10-29,11.88
2019-10-30,7.11
2019-10-31,9.73
2019-11-01,8.51
2019-11-02,7.49
2019-11-03,5.2
2019-11-04,6.39
2019-11-05,10.11
2019-11-06,10.54
2019-11-07,13.27
2019-11-08,13.51
2019-11-09,11.08
2019-11-10,13.08
2019-11-11,12.17
2019-11-12,12.0
2019-11-13,9.39
2019-11-14,8.73
2019-11-15,14.46
2019-11-16,19.62
2019-11-17,17.37
2019-11-18,21.0
2019-11-19,35.4
2019-11-20,25.75
2019-11-21,26.04
2019-11-22,16.56
2019-11-23,22.82
2019-11-24,23.87
2019-11-25,21.73
2019-11-26,42.15
2019-11-27,26.97
2019-11-28,49.65
2019-11-29,37.06
2019-11-30,34.44
2019-12-01,31.81
2019-12-02,36.24
2019-12-03,60.11
2019-12-04,9.66
2019-12-05,12.01
2019-12-06,35.04
2019-12-07,44.61
2019-12-08,50.97
2019-12-09,51.67
2019-12-10,38.2
2019-12-11,65.68
2019-12-12,70.3
2019-12-13,49.01
2019-12-14,63.54
2019-12-15,53.34
2019-12-16,34.88
2019-12-17,65.07
2019-12-18,53.9
2019-12-19,53.07
2019-12-20,80.47
2019-12-21,15.47
2019-12-22,24.19
2019-12-23,28.63
2019-12-24,44.46
2019-12-25,46.09
2019-12-26,18.36
2019-12-27,28.49
2019-12-28,29.69
2019-12-29,93.37
2019-12-30,82.51
2019-12-31,37.19
2020-01-01,37.49
2020-01-02,26.61
2020-01-03,12.52
2020-01-04,37.09
2020-01-05,23.19
2020-01-06,39.76
2020-01-07,15.2
2020-01-08,29.53
2020-01-09,41.77
2020-01-10,43.53
2020-01-11,41.3
2020-01-12,22.07
2020-01-13,44.38
2020-01-14,18.25
2020-01-15,37.35
2020-01-16,27.34
2020-01-17,13.29
2020-01-18,24.23
2020-01-19,24.14
2020-01-20,23.8
2020-01-21,14.93
2020-01-22,26.48
2020-01-23,24.47
2020-01-24,17.22
2020-01-25,21.75
2020-01-26,23.41
2020-01-27,18.99
2020-01-28,6.02
2020-01-29,7.49
2020-01-30,18.77
2020-01-31,10.39
2020-02-01,8.07
2020-02-02,11.59
2020-02-03,14.06
2020-02-04,12.53
2020-02-05,8.34
2020-02-06,7.77
2020-02-07,8.14
2020-02-08,8.47
2020-02-09,11.42
2020-02-10,10.01
2020-02-11,5.43
2020-02-12,5.17
2020-02-13,7.12
2020-02-14,2.01
2020-02-15,1.0
2020-02-16,1.0
2020-02-17,1.0
2020-02-18,1.0
2020-02-19,3.96
2020-02-20,4.15
2020-02-21,5.33
2020-02-22,7.07
2020-02-23,9.07
2020-02-24,8.01
2020-02-25,10.1
2020-02-26,8.49
2020-02-27,5.59
2020-02-28,4.55
2020-02-29,1.16
2020-03-01,1.12
2020-03-02,3.19
2020-03-03,6.41
2020-03-04,10.24
2020-03-05,5.54
2020-03-06,6.89
2020-03-07,3.61
2020-03-08,5.66
2020-03-09,6.39
2020-03-10,2.59
2020-03-11,6.6
2020-03-12,5.46
2020-03-13,5.02
2020-03-14,2.74
2020-03-15,2.92
2020-03-17,6.39
2020-03-18,7.6
2020-03-19,8.37
2020-03-20,10.94
2020-03-21,7.82
2020-03-22,4.15
2020-03-24,7.6
2020-03-25,10.24
2020-03-26,10.11
2020-03-27,8.95
2020-03-28,8.5
2020-03-29,12.31
2020-03-30,15.62
2020-03-31,12.57
2020-04-01,11.13
2020-04-02,12.38
2020-04-03,8.89
2020-04-04,8.69
2020-04-05,8.33
2020-04-06,9.82
2020-04-07,7.65
2020-04-08,4.84
2020-04-09,2.26
2020-04-10,2.99
2020-04-11,3.98
2020-04-12,5.42
2020-04-13,12.05
